kind,image_id,archive,lightroom_filename,asset_id,note
newspaper clipping,The_Oregon_Daily_Journal_1911_07_06_10,Newspaper,The_Oregon_Daily_Journal_1911_07_06_10.jpg,4f1caf0c118649408686584a53af4e4d,"reference scan, not an image to re-source"
newspaper clipping,St_Albans_Weekly_Messenger_1911_12_21_8,Newspaper,St_Albans_Weekly_Messenger_1911_12_21_8.jpg,cc94da9b518d4c30a7e95e4b86bbfdad,"reference scan, not an image to re-source"
newspaper clipping,St_Albans_Daily_Messenger_1911_12_19_7,Newspaper,St_Albans_Daily_Messenger_1911_12_19_7.jpg,4beefa6a83454794bda7165c7db04484,"reference scan, not an image to re-source"
newspaper clipping,The_Tacoma_Times_1911_07_06_Page_1,Newspaper,The_Tacoma_Times_1911_07_06_Page_1.jpg,2a85650bf2a248c984b100120b767c61,"reference scan, not an image to re-source"
newspaper clipping,Pasadena_Star_News_1911_07_06_1,Newspaper,Pasadena_Star_News_1911_07_06_1.jpg,9f3f1c936b474529b0d889d59d555dae,"reference scan, not an image to re-source"
newspaper clipping,The_San_Diego_Sun_1911_07_06_1,Newspaper,The_San_Diego_Sun_1911_07_06_1.jpg,8c5646b904404e15ab0e0472eac5f4c6,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_09_09_4,Newspaper,Las_Vegas_Age_1911_09_09_4.jpg,bbbd374206f5467d84dd4954c354eaa0,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_09_09_8,Newspaper,Las_Vegas_Age_1911_09_09_8.jpg,aea66948e1834ee5a7b6b8990e247e9c,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_27_4,Newspaper,Las_Vegas_Age_1911_05_27_4.jpg,ba6368abac71409a8095c2845d1874ad,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_09_16_8,Newspaper,Las_Vegas_Age_1911_09_16_8.jpg,af646b12810b481ba640a7037ada1cd2,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_13_4,Newspaper,Las_Vegas_Age_1911_05_13_4.jpg,f907cd75301c4f5b962c06cfd701467e,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_04_08_10,Newspaper,Las_Vegas_Age_1911_04_08_10.jpg,da466bd48bf645ac85262a8a3b2e2a7a,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_04_29_4,Newspaper,Las_Vegas_Age_1911_04_29_4.jpg,e9844bb5f71647d5afc686a1bf0062c3,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_01_14_4,Newspaper,Las_Vegas_Age_1911_01_14_4.jpg,c66f0f6709c34007bbc927dab3dac3a1,"reference scan, not an image to re-source"
photograph,"Pile of lumber by RR tracks, cheat:close ups",(blank),"Pile of lumber by RR tracks, cheat:close ups .jpg",999fc9c9d48a99487252c82c82143bc4,needs a source URL to trace and buy the TIF
photograph,sanfran-sewers,(blank),sanfran-sewers.jpg,47fcfaab4f2f254e0a73036aa60be7b6,needs a source URL to trace and buy the TIF
duplicate on the delete list,,(blank),San_Pedro_Los_Angeles_Salt_Lake_RR_P_11.jpg,f479a740225a5f1e30e3d0c89cff244a,already listed for deletion as a duplicate
duplicate on the delete list,,(blank),Denver_Rio_Grande_Western_Railroad_P_287.jpg,7afcc6c96b31d20e000f9adce662e71d,already listed for deletion as a duplicate
duplicate on the delete list,,(blank),San_Pedro_Los_Angeles_Salt_Lake_RR_P_5.jpg,c99f4de34f35042104acade34047aad8,already listed for deletion as a duplicate
photograph,Reno Mill and Lumber Company,(blank),Reno Mill and Lumber Company.jpeg,27bb8bfa4003e995bb3be0d855385d27,needs a source URL to trace and buy the TIF
photograph,chs-m958,Nevada Historical Society,chs-m958.jpg,8234d6fca11560c996d8dff6787e2c8d,needs a source URL to trace and buy the TIF
photograph,182-Reno Mill &amp; Lumber Company,(blank),182-Reno Mill &amp; Lumber Company.jpeg,c2e7e99bbc8d1508e419277bf4d71d6c,needs a source URL to trace and buy the TIF
