sequence,image_id,category,script_pages,page_sort,archive,catalog_id,title_caption,source_url,keywords,downloaded,in_lightroom,metadata_attached
287,Los_Angeles_Herald_1905_05_28_Page_4,"Maps, Newspapers & Documents",,9999,Newspaper,Los_Angeles_Herald_1905_05_28_Page_4,Los Angeles Herald 1905 05 28 Page 4,,,,Yes,
288,The_Los_Angeles_Times_1905_06_04_50,"Maps, Newspapers & Documents",,9999,Newspaper,The_Los_Angeles_Times_1905_06_04_50,The Los Angeles Times 1905 06 04 50,,,,Yes,
289,The_Los_Angeles_Times_1905_05_13_11,"Maps, Newspapers & Documents",,9999,Newspaper,The_Los_Angeles_Times_1905_05_13_11,The Los Angeles Times 1905 05 13 11,,,,Yes,
290,Deseret_News_1905_05_12_Page_8,"Maps, Newspapers & Documents",,9999,Newspaper,Deseret_News_1905_05_12_Page_8,Deseret News 1905 05 12 Page 8,,,,Yes,
291,The_Los_Angeles_Times_1905_06_11_53,"Maps, Newspapers & Documents",,9999,Newspaper,The_Los_Angeles_Times_1905_06_11_53,The Los Angeles Times 1905 06 11 53,,,,Yes,
292,The_Los_Angeles_Times_1905_06_06_19,"Maps, Newspapers & Documents",,9999,Newspaper,The_Los_Angeles_Times_1905_06_06_19,The Los Angeles Times 1905 06 06 19,,,,Yes,
293,Salt_Lake_Telegram_1905_06_12_15,"Maps, Newspapers & Documents",,9999,Newspaper,Salt_Lake_Telegram_1905_06_12_15,Salt Lake Telegram 1905 06 12 15,,,,Yes,
294,The_Salt_Lake_Tribune_1905_05_14_Page_23,"Maps, Newspapers & Documents",,9999,Newspaper,The_Salt_Lake_Tribune_1905_05_14_Page_23,The Salt Lake Tribune 1905 05 14 Page 23,,,,Yes,
295,Salt_Lake_Telegram_1905_05_02_1,"Maps, Newspapers & Documents",,9999,Newspaper,Salt_Lake_Telegram_1905_05_02_1,Salt Lake Telegram 1905 05 02 1,,,,Yes,
296,Las_Vegas_Age_1911_01_14_4,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_01_14_4,Las Vegas Age 1911 01 14 4,,,,Yes,
297,Las_Vegas_Age_1911_04_29_4,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_04_29_4,,,,,Yes,
298,Las_Vegas_Age_1911_04_08_10,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_04_08_10,,,,,Yes,
299,Las_Vegas_Age_1911_05_13_4,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_13_4,,,,,Yes,
300,Las_Vegas_Age_1911_09_16_8,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_09_16_8,,,,,Yes,
301,Las_Vegas_Age_1911_05_27_4,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_27_4,,,,,Yes,
302,Las_Vegas_Age_1911_09_09_8,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_09_09_8,,,,,Yes,
303,Las_Vegas_Age_1911_09_09_4,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_09_09_4,,,,,Yes,
304,The_San_Diego_Sun_1911_07_06_1,"Maps, Newspapers & Documents",,9999,Newspaper,The_San_Diego_Sun_1911_07_06_1,,,,,Yes,
305,Pasadena_Star_News_1911_07_06_1,"Maps, Newspapers & Documents",,9999,Newspaper,Pasadena_Star_News_1911_07_06_1,,,,,Yes,
306,The_Tacoma_Times_1911_07_06_Page_1,"Maps, Newspapers & Documents",,9999,Newspaper,The_Tacoma_Times_1911_07_06_Page_1,,,,,Yes,
307,St_Albans_Daily_Messenger_1911_12_19_7,"Maps, Newspapers & Documents",,9999,Newspaper,St_Albans_Daily_Messenger_1911_12_19_7,,,,,Yes,
308,St_Albans_Weekly_Messenger_1911_12_21_8,"Maps, Newspapers & Documents",,9999,Newspaper,St_Albans_Weekly_Messenger_1911_12_21_8,,,,,Yes,
309,The_Oregon_Daily_Journal_1911_07_06_10,"Maps, Newspapers & Documents",,9999,Newspaper,The_Oregon_Daily_Journal_1911_07_06_10,,,,,Yes,
310,The_Fairbury_Blade_1911_08_04_1,"Maps, Newspapers & Documents",,9999,Newspaper,The_Fairbury_Blade_1911_08_04_1,,,,,Yes,
311,Las_Vegas_Age_1911_02_25_5,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_02_25_5,,,,,Yes,
312,Las_Vegas_Age_1911_05_06_4,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_06_4,,,,,Yes,
313,Las_Vegas_Age_1911_01_14_5,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_01_14_5,,,,,Yes,
314,Las_Vegas_Age_1911_04_29_1,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_04_29_1,,,,,Yes,
315,Las_Vegas_Age_1911_03_04_5,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_03_04_5,,,,,Yes,
316,Las_Vegas_Age_1911_04_29_5,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_04_29_5,,,,,Yes,
317,Las_Vegas_Age_1911_01_07_4,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_01_07_4,Las Vegas Age 1911 01 07 4.,,,,Yes,
318,Las_Vegas_Age_1911_01_07_5,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_01_07_5,Las Vegas Age 1911 01 07 5,,,,Yes,
319,Las_Vegas_Age_1911_01_07_8,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_01_07_8,Las Vegas Age 1911 01 07 8,,,,Yes,
320,Las_Vegas_Age_1911_01_14_8,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_01_14_8,,,,,Yes,
321,Las_Vegas_Age_1911_09_16_1,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_09_16_1,,,,,Yes,
322,Las_Vegas_Age_1911_09_16_2,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_09_16_2,,,,,Yes,
323,Las_Vegas_Age_1911_09_16_5,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_09_16_5,,,,,Yes,
324,Las_Vegas_Age_1911_09_16_7,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_09_16_7,,,,,Yes,
325,Las_Vegas_Age_1911_09_09_2,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_09_09_2,,,,,Yes,
326,Las_Vegas_Age_1911_09_09_5,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_09_09_5,,,,,Yes,
327,Las_Vegas_Age_1911_09_09_7,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_09_09_7,,,,,Yes,
328,Las_Vegas_Age_1911_05_06_1,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_06_1,,,,,Yes,
329,Las_Vegas_Age_1911_05_06_2,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_06_2,,,,,Yes,
330,Las_Vegas_Age_1911_05_06_5,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_06_5,,,,,Yes,
331,Las_Vegas_Age_1911_05_06_8,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_06_8,,,,,Yes,
332,Las_Vegas_Age_1911_05_13_1,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_13_1,,,,,Yes,
333,Las_Vegas_Age_1911_05_13_2,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_13_2,,,,,Yes,
334,Las_Vegas_Age_1911_05_13_5,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_13_5,,,,,Yes,
335,Las_Vegas_Age_1911_05_13_8,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_13_8,,,,,Yes,
336,Las_Vegas_Age_1911_05_27_1,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_27_1,,,,,Yes,
337,Las_Vegas_Age_1911_05_27_5,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_27_5,,,,,Yes,
338,Las_Vegas_Age_1911_05_27_8,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_05_27_8,,,,,Yes,
339,Las_Vegas_Age_1911_01_07_1,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_01_07_1,Las Vegas Age 1911 01 07 1,,,,Yes,
340,Las_Vegas_Age_1911_01_07_3,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_01_07_3,Las Vegas Age 1911 01 07 3,,,,Yes,
341,Las_Vegas_Age_1911_01_14_3,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_01_14_3,Las Vegas Age 1911 01 14 3,,,,Yes,
342,Las_Vegas_Age_1911_02_25_4,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_02_25_4,,,,,Yes,
343,Las_Vegas_Age_1911_02_25_7,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_02_25_7,,,,,Yes,
344,Las_Vegas_Age_1911_02_25_8,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_02_25_8,,,,,Yes,
345,Las_Vegas_Age_1911_03_04_1,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_03_04_1,,,,,Yes,
346,Las_Vegas_Age_1911_03_04_8,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_03_04_8,,,,,Yes,
347,Las_Vegas_Age_1911_04_08_1,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_04_08_1,,,,,Yes,
348,Las_Vegas_Age_1911_04_08_4,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_04_08_4,,,,,Yes,
349,Las_Vegas_Age_1911_04_08_5,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_04_08_5,,,,,Yes,
350,Las_Vegas_Age_1911_04_15_1,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_04_15_1,,,,,Yes,
351,Las_Vegas_Age_1911_04_15_4,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_04_15_4,,,,,Yes,
352,Las_Vegas_Age_1911_04_15_5,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_04_15_5,,,,,Yes,
353,Las_Vegas_Age_1911_04_29_8,"Maps, Newspapers & Documents",,9999,Newspaper,Las_Vegas_Age_1911_04_29_8,,,,,Yes,
354,NEEDS-ID-02,"Maps, Newspapers & Documents",(ignore per sheet note),9999,Private Source (robertgavora.com),,"Postcards of a flood 1910, Nevada (different place - ignore for Squires project)",https://www.robertgavora.com/pages/books/54905/result-reese-river-nevada-flood-1910-nevada-central-railway-seven-photographic-postcards,,,,
355,pho007102,"Maps, Newspapers & Documents",,9999,UNLV Special Collections,pho007102,"Stewart Ranch, Las Vegas, postcard (1900 to 1939)",https://special.library.unlv.edu/ark:/62930/d1tb0xv61,,Yes,Yes,Yes
356,pho020567,"Maps, Newspapers & Documents",,9999,UNLV Special Collections,pho020567,"Postcard of Tonopah Belmont Development Company's mine and mill, Tonopah (Nev.), September 18, 1912",https://special.library.unlv.edu/ark:/62930/d1ht2gg9z,,Yes,Yes,Yes
357,snv000843,"Maps, Newspapers & Documents",,9999,UNLV Special Collections,snv000843,"Postcard of Robert ""Spud"" Lake with men and horse-drawn wagons, Las Vegas (Nev.), December, 1914",https://special.library.unlv.edu/ark:/62930/d1qv3cj0v,,Yes,Yes,Yes
