archive,catalog_id,title_caption,source_url,topic,script_pages,downloaded,in_lightroom,metadata_attached,archive_filename,keywords
UNLV Special Collections,pho024780,"Photograph of William Beckley at the register in his clothing store, Las Vegas (Nev.), circa 1909 [Beckley Family Photograph Collection (PH-00148)]",http://n2t.net/ark:/62930/d17w67c22,,P.46,Yes,Yes,Yes,,
UNLV Special Collections,pho025129,Saloon interior (Caliente) (1900 to 1930),https://special.library.unlv.edu/ark:/62930/d1901zn61,1911 incorporation campaign / respectable town,P.47,Yes,Yes,Yes,,
UNLV Special Collections,pho018411,"Electrical line installation near mine, Candelaria, NV, undated",https://special.library.unlv.edu/ark%3A/62930/d1ft8dp04,,P.47,Yes,Yes,Yes,,
Alamy,GDFDXG,"Outhouses, Bodie ghost town",https://www.alamy.com/stock-photo-bodie-ghost-town-intentional-noise-added-for-vintage-look-111592952.html,,P.49-51,Yes,Yes,,,"Outhouses / Privies; Bodie, CA"
Alamy,DEAWCA,"Outhouses, Sacramento CA - company housing",https://www.alamy.com/in-sacramento-california-fifty-to-sixty-families-pay-1-per-month-for-image60475754.html,,P.49-51,Yes,Yes,,,"Outhouses / Privies; Sacramento, CA"
Alamy,DHCE5Y,"Privy/outdoor toilet, company housing project",https://www.alamy.com/a-privy-or-outdoor-toilet-located-in-the-company-housing-project-of-image62354823.html,,P.49-51,Yes,Yes,,,Outhouses / Privies
Alamy,2C74JDE,"Cesspool - aerial view (Germany, for reference)",https://www.alamy.com/cesspool-above-and-setting-pond-04072020-aerial-view-germany-schleswig-holstein-image365822618.html,,P.49-51,Yes,Yes,,,Cesspools; Aerial View
Alamy,,Shovel in dirt (cesspool reference),https://www.alamy.com/simple-shovel-with-a-wooden-handle-is-stuck-in-a-dry-ground-in-an-unfinished-pit-image263985930.html,,P.49-51,,,,,
Alamy,2NHY7BE,Sewer hole in dirt with ladder (cesspool/sewer construction),https://www.alamy.com/digging-a-deep-round-hole-with-sewer-line-drain-pipe-outlet-for-a-brick-or-concrete-septic-tank-sewer-cesspool-and-manhole-installation-image527358706.html,,"P.49-51, P.124-128",Yes,Yes,,,Sewers; Sewer Construction; Cesspools
Alamy,105170989,Sanitation ring/metal mold (cesspool cover reference),https://www.alamy.com/stock-photo-detail-of-a-sanitation-ring-and-metal-mold-105170989.html,,P.49-51,,,,,
Alamy,130432734,Bucket and cesspool-looking hole,https://www.alamy.com/stock-photo-a-golden-bucket-hanging-above-a-little-fountain-made-of-stone-130432734.html,,P.49-51,,,,,
Alamy,,Dirty water / sewer channel,https://www.alamy.com/this-is-the-sewer-channel-of-almost-dead-clusters-of-dead-organic-matter-muddy-water-dim-reflection-of-the-sun-image729420866.html,,P.49-51,,,,,
Alamy,,Filled cesspool (typhus fever reference figure),https://www.alamy.com/typhus-fever-with-particular-reference-to-the-serbian-epidemic-fig-1-filled-cesspool-image338447909.html,,P.49-51,,,,,
